customer_id,customer_type,industry,region,registration_date,annual_revenue,customer_status,recency,frequency,monetary_value,interaction_count,avg_satisfaction,avg_resolution_time,complaints,customer_lifetime_value
C0015,B2C,Finance,West,2022-03-12,80007.08,Active,14.0,5.0,34957.33,1.0,1.0,55.4,0.0,34957.33
C0016,B2C,Technology,West,2022-05-21,449933.21,Inactive,15.0,5.0,37059.15,6.0,3.6666666666666665,20.866666666666667,1.0,37059.15
C0017,B2B,Manufacturing,West,2023-01-12,54545.61,Active,183.0,4.0,12756.070000000002,2.0,4.5,28.65,0.0,12756.070000000002
C0018,B2B,Manufacturing,South,2025-10-30,398118.89,Inactive,37.0,6.0,31999.31,2.0,3.0,39.15,1.0,31999.31
C0019,B2B,Finance,West,2024-05-06,301985.33,Inactive,170.0,3.0,23826.11,2.0,3.0,15.8,0.0,23826.11
C0020,B2C,Technology,North,2023-12-20,343338.87,Active,165.0,3.0,16994.620000000003,0.0,0.0,0.0,0.0,16994.620000000003
C0021,B2C,Retail,North,2024-10-28,153815.06,Active,351.0,2.0,14761.46,2.0,4.0,47.8,1.0,14761.46
C0022,B2B,Retail,South,2023-07-19,258764.02,Active,109.0,4.0,20168.16,6.0,3.3333333333333335,32.483333333333334,2.0,20168.16
C0023,B2C,Technology,South,2025-11-18,84891.24,Active,253.0,2.0,14686.94,0.0,0.0,0.0,0.0,14686.94
C0024,B2B,Technology,East,2024-01-10,249416.8,Active,196.0,5.0,47227.31,4.0,4.0,47.525,2.0,47227.31
C0025,B2C,Manufacturing,North,2023-01-14,128027.08,Active,31.0,8.0,52809.94,4.0,2.75,33.575,2.0,52809.94
C0026,B2C,Healthcare,South,2021-06-25,72911.82,Inactive,65.0,6.0,52771.04,5.0,3.0,39.94,0.0,52771.04
C0027,B2B,Retail,West,2024-01-31,482537.82,Active,18.0,6.0,49970.85,4.0,3.25,37.9,0.0,49970.85
C0028,B2C,Finance,East,2024-12-31,224669.04,Inactive,363.0,2.0,20380.38,5.0,2.8,32.5,0.0,20380.38
C0029,B2B,Manufacturing,North,2021-09-05,175661.93,Active,143.0,7.0,61767.26,2.0,2.0,33.75,0.0,61767.26
C0030,B2B,Healthcare,North,2024-04-20,356842.06,Active,35.0,3.0,19086.760000000002,4.0,4.25,32.05,1.0,19086.760000000002
C0031,B2B,Healthcare,East,2022-04-14,44720.1,Active,4.0,5.0,25480.59,3.0,3.3333333333333335,31.900000000000002,0.0,25480.59
C0032,B2C,Manufacturing,South,2022-07-25,364442.76,Inactive,206.0,6.0,25320.47,3.0,2.3333333333333335,25.166666666666668,1.0,25320.47
C0033,B2C,Finance,South,2022-05-13,56219.64,Inactive,876.0,1.0,4893.63,3.0,2.6666666666666665,17.3,2.0,4893.63
C0034,B2C,Finance,West,2022-12-27,433280.01,Active,107.0,6.0,44877.2,4.0,2.75,40.6,0.0,44877.2
C0035,B2B,Healthcare,West,2024-10-11,366824.66,Active,224.0,1.0,7227.85,5.0,2.0,36.8,2.0,7227.85
C0036,B2B,Manufacturing,West,2022-05-25,78689.33,Active,60.0,3.0,17561.34,0.0,0.0,0.0,0.0,17561.34
C0037,B2C,Manufacturing,North,2022-07-25,227134.07,Active,0.0,0.0,0.0,2.0,1.5,44.95,0.0,0.0
C0038,B2B,Healthcare,South,2021-04-14,91492.44,Inactive,1.0,9.0,57571.29,2.0,1.5,19.85,0.0,57571.29
C0039,B2B,Finance,North,2023-09-13,90672.19,Active,40.0,3.0,15764.41,5.0,3.2,18.86,4.0,15764.41
C0040,B2C,Finance,East,2023-03-11,217273.67,Inactive,19.0,5.0,27501.79,1.0,3.0,31.2,1.0,27501.79
C0041,B2B,Retail,South,2021-11-14,484667.59,Active,230.0,4.0,23097.32,3.0,3.6666666666666665,45.23333333333333,0.0,23097.32
C0042,B2C,Healthcare,North,2025-03-12,296247.02,Active,221.0,3.0,20022.190000000002,8.0,3.0,37.575,3.0,20022.190000000002
C0043,B2B,Manufacturing,North,2021-04-27,301567.2,Active,232.0,5.0,55180.71000000001,8.0,3.0,22.6875,1.0,55180.71000000001
C0044,B2B,Technology,South,2023-04-07,293670.34,Active,264.0,4.0,29957.85,4.0,3.25,33.425,3.0,29957.85
C0045,B2B,Finance,East,2024-06-22,468006.07,Active,205.0,5.0,34922.76,2.0,1.0,52.5,0.0,34922.76
C0046,B2C,Manufacturing,East,2024-10-03,203935.06,Active,100.0,6.0,37571.45,1.0,3.0,28.5,0.0,37571.45
C0047,B2C,Healthcare,North,2023-07-26,234559.91,Active,65.0,5.0,26600.66,1.0,5.0,28.9,0.0,26600.66
C0048,B2B,Technology,East,2021-05-31,74903.72,Active,0.0,0.0,0.0,2.0,3.0,53.35,1.0,0.0
C0049,B2B,Retail,East,2021-05-21,87295.95,Active,38.0,5.0,34081.32,1.0,5.0,47.1,0.0,34081.32
C0050,B2B,Technology,East,2024-06-06,466560.46,Active,0.0,0.0,0.0,3.0,2.6666666666666665,50.199999999999996,1.0,0.0
C0051,B2B,Retail,North,2025-12-04,445959.23,Active,54.0,4.0,32118.05,3.0,4.333333333333333,31.8,0.0,32118.05
C0052,B2C,Technology,South,2022-07-12,361629.97,Active,473.0,3.0,25934.41,3.0,3.0,36.56666666666667,3.0,25934.41
C0053,B2C,Technology,West,2024-11-08,133049.41,Active,136.0,4.0,28309.42,4.0,1.75,31.375,2.0,28309.42
C0054,B2C,Retail,North,2021-07-09,11737.39,Active,200.0,7.0,57659.26,2.0,2.5,64.15,0.0,57659.26
C0055,B2C,Manufacturing,West,2024-07-28,280323.41,Inactive,235.0,7.0,34538.73,2.0,2.5,20.9,1.0,34538.73
C0056,B2B,Healthcare,North,2024-02-23,473074.96,Active,59.0,5.0,38952.840000000004,4.0,2.75,40.824999999999996,2.0,38952.840000000004
C0057,B2B,Retail,South,2024-01-23,220595.49,Active,40.0,4.0,36251.96,1.0,5.0,33.6,0.0,36251.96
C0058,B2C,Healthcare,East,2022-09-24,112937.5,Active,38.0,4.0,9900.029999999999,4.0,2.5,30.275,1.0,9900.029999999999
C0059,B2B,Retail,West,2024-09-27,487180.14,Active,132.0,5.0,51109.490000000005,3.0,4.333333333333333,28.900000000000002,1.0,51109.490000000005
C0060,B2B,Manufacturing,West,2022-04-30,22145.32,Active,421.0,1.0,8046.54,4.0,3.75,18.5,2.0,8046.54
C0061,B2C,Manufacturing,East,2025-05-22,88006.94,Active,239.0,6.0,29743.67,8.0,2.75,39.4,0.0,29743.67
C0062,B2B,Finance,South,2023-02-23,107790.69,Inactive,424.0,2.0,22694.04,5.0,3.8,56.739999999999995,0.0,22694.04
C0063,B2C,Manufacturing,South,2022-12-18,21595.57,Active,167.0,3.0,16474.2,4.0,3.5,41.5,0.0,16474.2
C0064,B2C,Retail,North,2023-03-28,483775.66,Active,483.0,3.0,23772.46,1.0,5.0,43.1,0.0,23772.46
C0065,B2C,Technology,East,2022-12-21,470226.2,Active,23.0,8.0,49276.45,3.0,4.0,41.53333333333333,0.0,49276.45
C0066,B2C,Manufacturing,East,2025-12-02,28746.03,Inactive,234.0,6.0,39837.91,3.0,3.0,34.6,1.0,39837.91
C0067,B2C,Finance,North,2022-12-09,198745.76,Active,150.0,4.0,48892.009999999995,5.0,3.2,44.9,2.0,48892.009999999995
C0068,B2B,Finance,North,2022-06-06,264760.97,Active,264.0,5.0,38514.380000000005,1.0,2.0,4.4,0.0,38514.380000000005
C0069,B2C,Healthcare,East,2023-01-16,315346.15,Active,66.0,7.0,33593.6,4.0,1.75,28.325,1.0,33593.6
C0070,B2C,Technology,East,2025-01-14,336777.52,Active,98.0,5.0,21862.78,1.0,1.0,18.7,0.0,21862.78
C0071,B2C,Technology,South,2023-04-05,104001.65,Inactive,277.0,6.0,45754.31,2.0,3.5,32.5,0.0,45754.31
C0072,B2B,Technology,East,2024-10-19,208976.83,Active,136.0,2.0,6579.15,0.0,0.0,0.0,0.0,6579.15
C0073,B2C,Manufacturing,West,2022-09-15,395021.83,Active,706.0,1.0,17200.19,4.0,4.25,48.95,2.0,17200.19
C0074,B2C,Finance,South,2023-08-11,260475.26,Active,186.0,5.0,51592.81,3.0,3.0,31.7,1.0,51592.81
C0075,B2B,Retail,East,2024-09-11,55759.73,Active,24.0,5.0,58029.91,6.0,3.3333333333333335,39.083333333333336,1.0,58029.91
C0076,B2C,Manufacturing,South,2024-10-09,82203.44,Active,0.0,0.0,0.0,2.0,4.0,36.1,1.0,0.0
C0077,B2C,Technology,North,2022-05-17,233153.92,Active,894.0,1.0,4197.12,3.0,3.3333333333333335,45.699999999999996,1.0,4197.12
C0078,B2C,Finance,West,2025-01-11,129552.38,Active,28.0,2.0,14260.08,2.0,2.5,10.4,0.0,14260.08
C0079,B2B,Finance,South,2025-03-18,96184.47,Inactive,14.0,3.0,20636.02,2.0,2.5,37.25,1.0,20636.02
C0080,B2B,Healthcare,West,2021-04-13,75336.16,Inactive,65.0,2.0,7626.6,2.0,3.5,21.2,0.0,7626.6
C0081,B2C,Finance,West,2024-09-29,416978.89,Inactive,158.0,6.0,46944.51,2.0,3.5,30.9,0.0,46944.51
C0082,B2C,Finance,East,2021-11-22,378370.63,Active,513.0,4.0,16934.79,2.0,1.5,7.55,0.0,16934.79
C0083,B2C,Manufacturing,East,2025-04-18,225537.57,Active,199.0,2.0,17038.48,4.0,3.0,37.5,0.0,17038.48
C0084,B2C,Retail,East,2022-04-26,447583.15,Active,52.0,3.0,14512.68,0.0,0.0,0.0,0.0,14512.68
C0085,B2B,Manufacturing,West,2021-10-11,350035.41,Active,107.0,3.0,26545.739999999998,1.0,2.0,55.9,0.0,26545.739999999998
C0086,B2C,Finance,East,2021-05-12,275879.46,Inactive,592.0,4.0,35585.22,5.0,3.2,23.34,2.0,35585.22
C0087,B2B,Finance,West,2021-05-08,453370.85,Active,559.0,3.0,22802.620000000003,1.0,4.0,69.8,1.0,22802.620000000003
C0088,B2C,Finance,North,2025-10-21,471943.41,Active,27.0,3.0,31887.73,5.0,3.4,49.040000000000006,2.0,31887.73
C0089,B2C,Finance,South,2025-03-24,249232.44,Active,340.0,4.0,41872.11,2.0,2.5,49.65,1.0,41872.11
C0090,B2C,Healthcare,West,2023-06-12,174703.48,Inactive,176.0,3.0,11909.19,4.0,2.0,23.95,0.0,11909.19
C0091,B2B,Finance,South,2025-01-23,490553.77,Active,42.0,6.0,43238.42,2.0,2.0,59.25,2.0,43238.42
C0092,B2B,Healthcare,West,2023-03-18,76492.75,Inactive,1.0,4.0,18361.2,3.0,1.3333333333333333,43.06666666666666,1.0,18361.2
C0093,B2B,Retail,West,2022-01-08,170402.81,Inactive,16.0,6.0,37188.93,6.0,3.1666666666666665,34.733333333333334,3.0,37188.93
C0094,B2C,Finance,East,2022-11-01,378484.81,Inactive,590.0,3.0,23060.99,4.0,3.25,27.625,1.0,23060.99
C0095,B2B,Finance,North,2022-06-01,377021.89,Active,110.0,1.0,3648.41,6.0,4.0,33.61666666666667,1.0,3648.41
C0096,B2B,Healthcare,North,2022-12-18,379574.27,Active,279.0,5.0,36350.19,2.0,3.0,53.349999999999994,0.0,36350.19
C0097,B2B,Technology,South,2022-02-13,126887.02,Inactive,70.0,3.0,22118.81,0.0,0.0,0.0,0.0,22118.81
C0098,B2B,Technology,South,2024-10-03,237866.65,Active,353.0,1.0,3842.38,2.0,2.0,40.3,0.0,3842.38
C0099,B2C,Manufacturing,North,2025-04-20,391118.02,Active,14.0,8.0,65164.509999999995,6.0,2.6666666666666665,33.733333333333334,1.0,65164.509999999995
C0100,B2B,Technology,North,2022-09-30,465154.71,Inactive,160.0,6.0,47329.91,1.0,1.0,70.1,0.0,47329.91
C0101,B2B,Healthcare,South,2023-03-24,59931.64,Active,80.0,2.0,23244.53,3.0,2.6666666666666665,39.56666666666667,0.0,23244.53
C0102,B2B,Technology,North,2025-10-08,180129.85,Inactive,633.0,3.0,16570.34,5.0,3.0,35.6,1.0,16570.34
C0103,B2C,Healthcare,East,2024-09-16,16199.55,Inactive,7.0,11.0,97077.8,4.0,3.0,36.9,0.0,97077.8
C0104,B2C,Healthcare,West,2025-08-12,480785.91,Inactive,499.0,3.0,15351.85,2.0,5.0,39.75,1.0,15351.85
C0105,B2B,Finance,South,2024-12-19,369559.7,Active,606.0,2.0,13369.93,1.0,1.0,47.5,0.0,13369.93
C0106,B2C,Finance,West,2024-06-15,414609.95,Active,17.0,9.0,60866.12,3.0,2.3333333333333335,38.1,1.0,60866.12
C0107,B2B,Healthcare,East,2022-10-23,441999.28,Active,451.0,3.0,18568.66,4.0,3.75,16.175,0.0,18568.66
C0108,B2C,Technology,West,2025-03-17,174834.34,Inactive,137.0,2.0,10272.48,5.0,3.4,54.98,2.0,10272.48
C0109,B2C,Manufacturing,West,2025-10-09,113938.73,Active,312.0,4.0,25608.35,3.0,4.333333333333333,46.300000000000004,0.0,25608.35
C0110,B2C,Technology,East,2022-11-29,282337.6,Active,267.0,7.0,66853.41,4.0,3.5,39.825,0.0,66853.41
C0111,B2B,Finance,West,2021-06-25,282036.34,Active,361.0,3.0,17331.239999999998,3.0,2.3333333333333335,14.866666666666667,1.0,17331.239999999998
C0112,B2C,Finance,West,2024-11-15,398537.11,Active,137.0,3.0,14584.93,6.0,3.0,28.53333333333333,2.0,14584.93
C0113,B2B,Finance,South,2022-08-26,160040.95,Active,154.0,5.0,17500.2,5.0,4.4,45.32,2.0,17500.2
C0114,B2C,Finance,East,2023-08-28,182387.16,Inactive,485.0,3.0,27495.26,4.0,3.0,39.125,1.0,27495.26
C0115,B2C,Retail,South,2022-07-09,69121.38,Active,271.0,2.0,9740.01,4.0,4.5,30.75,0.0,9740.01
C0116,B2B,Technology,South,2022-10-09,103855.08,Inactive,225.0,4.0,33385.37,4.0,3.75,48.275,0.0,33385.37
C0117,B2C,Healthcare,South,2022-07-21,155160.77,Active,113.0,3.0,16756.37,4.0,3.75,31.375,1.0,16756.37
C0118,B2C,Healthcare,South,2022-01-03,144412.55,Active,108.0,2.0,8879.68,2.0,3.5,33.65,0.0,8879.68
C0119,B2C,Manufacturing,West,2024-02-08,60267.95,Active,558.0,2.0,8658.89,5.0,2.0,47.7,1.0,8658.89
C0120,B2C,Finance,West,2024-03-21,225829.71,Active,0.0,0.0,0.0,2.0,3.5,26.450000000000003,1.0,0.0
C0121,B2C,Finance,North,2021-04-16,412836.67,Inactive,24.0,5.0,28548.62,7.0,3.4285714285714284,36.05714285714286,1.0,28548.62
C0122,B2B,Technology,North,2023-10-05,84346.23,Active,508.0,1.0,11392.69,2.0,5.0,18.25,0.0,11392.69
C0123,B2B,Healthcare,West,2021-06-24,307095.65,Active,165.0,4.0,25772.0,1.0,4.0,58.8,1.0,25772.0
C0124,B2C,Finance,West,2025-05-08,155703.03,Inactive,59.0,7.0,49005.81,3.0,4.0,40.833333333333336,1.0,49005.81
C0125,B2B,Technology,North,2022-09-18,474319.2,Active,13.0,4.0,26528.75,5.0,2.8,40.04,2.0,26528.75
C0126,B2B,Retail,North,2024-07-05,86957.98,Active,218.0,3.0,15570.43,4.0,2.5,30.325000000000003,2.0,15570.43
C0127,B2B,Manufacturing,North,2024-02-05,210173.61,Inactive,405.0,3.0,11034.380000000001,4.0,3.75,53.45,1.0,11034.380000000001
C0128,B2B,Manufacturing,East,2022-08-20,356408.36,Inactive,12.0,4.0,27014.52,4.0,2.75,43.6,1.0,27014.52
C0129,B2B,Retail,South,2021-05-26,218318.09,Active,187.0,2.0,14532.36,4.0,3.75,37.725,0.0,14532.36
C0130,B2B,Retail,South,2024-08-19,44990.82,Active,310.0,3.0,33462.94,4.0,4.0,44.849999999999994,1.0,33462.94
C0131,B2C,Technology,East,2025-06-12,225185.19,Inactive,61.0,8.0,59004.509999999995,4.0,3.25,38.875,2.0,59004.509999999995
C0132,B2C,Finance,East,2024-11-11,255231.37,Inactive,230.0,8.0,43393.68,1.0,1.0,24.2,0.0,43393.68
C0133,B2B,Technology,North,2023-06-16,445817.22,Active,255.0,4.0,25579.72,8.0,3.25,18.7375,2.0,25579.72
C0134,B2C,Healthcare,North,2024-05-21,122172.96,Active,139.0,5.0,19100.9,3.0,2.6666666666666665,53.46666666666667,1.0,19100.9
C0135,B2C,Technology,North,2025-04-16,383923.41,Active,159.0,2.0,8068.6,5.0,3.0,45.92,2.0,8068.6
C0136,B2C,Retail,South,2023-08-22,498503.28,Inactive,152.0,8.0,61181.31,3.0,4.333333333333333,33.266666666666666,0.0,61181.31
C0137,B2C,Healthcare,West,2024-07-24,180500.92,Active,209.0,3.0,24070.98,2.0,2.0,55.75,0.0,24070.98
C0138,B2B,Manufacturing,East,2022-10-20,211706.09,Inactive,224.0,3.0,16007.31,1.0,1.0,63.5,0.0,16007.31
C0139,B2C,Technology,North,2022-08-14,232864.7,Active,285.0,5.0,42885.759999999995,1.0,3.0,51.6,0.0,42885.759999999995
C0140,B2C,Healthcare,West,2022-06-01,433806.19,Active,175.0,5.0,35005.61,1.0,3.0,21.2,0.0,35005.61
C0141,B2C,Finance,North,2024-09-08,101915.45,Active,3.0,4.0,32265.75,4.0,3.5,40.375,2.0,32265.75
C0142,B2C,Finance,North,2024-06-29,109743.54,Active,129.0,4.0,21430.0,3.0,1.6666666666666667,24.933333333333334,0.0,21430.0
C0143,B2C,Finance,North,2022-08-13,24146.03,Active,134.0,1.0,17715.49,3.0,1.6666666666666667,20.333333333333332,0.0,17715.49
C0144,B2B,Retail,North,2024-12-24,280603.19,Active,109.0,6.0,40756.14,3.0,2.3333333333333335,35.666666666666664,0.0,40756.14
C0145,B2B,Finance,North,2022-04-06,327377.75,Active,38.0,3.0,21650.23,3.0,2.6666666666666665,50.36666666666667,1.0,21650.23
C0146,B2C,Technology,East,2023-10-18,213590.27,Inactive,204.0,7.0,43641.87,3.0,4.666666666666667,27.366666666666664,0.0,43641.87
C0147,B2B,Finance,South,2023-08-26,197957.15,Active,159.0,3.0,15216.71,1.0,3.0,8.7,0.0,15216.71
C0148,B2B,Retail,West,2025-11-05,176538.87,Active,462.0,7.0,43776.4,4.0,2.75,15.775,2.0,43776.4
C0149,B2B,Retail,East,2025-08-08,420363.2,Inactive,322.0,4.0,26604.690000000002,1.0,3.0,3.3,0.0,26604.690000000002
C0150,B2B,Finance,West,2025-11-08,179110.73,Inactive,822.0,1.0,18540.48,1.0,2.0,50.1,0.0,18540.48
C0151,B2C,Manufacturing,South,2023-07-22,290180.84,Active,91.0,5.0,32547.87,1.0,1.0,50.6,1.0,32547.87
C0152,B2C,Healthcare,East,2025-10-20,374905.52,Inactive,41.0,6.0,31575.54,1.0,4.0,35.3,0.0,31575.54
C0153,B2B,Finance,North,2023-03-02,71860.67,Active,936.0,1.0,4555.58,4.0,3.25,32.125,2.0,4555.58
C0154,B2B,Finance,North,2025-11-17,267716.03,Inactive,174.0,6.0,44340.69,2.0,3.5,51.25,0.0,44340.69
C0155,B2B,Finance,South,2021-02-01,46665.84,Active,161.0,3.0,25117.6,4.0,2.0,39.675000000000004,2.0,25117.6
C0156,B2C,Healthcare,East,2022-11-25,427647.25,Inactive,271.0,3.0,30091.64,3.0,3.3333333333333335,29.2,0.0,30091.64
C0157,B2C,Technology,North,2022-10-11,312555.14,Active,15.0,4.0,26939.9,2.0,3.5,37.45,1.0,26939.9
C0158,B2C,Manufacturing,North,2024-07-16,222646.02,Active,74.0,4.0,41138.869999999995,5.0,2.8,37.739999999999995,3.0,41138.869999999995
C0159,B2B,Finance,South,2025-04-07,350060.57,Active,435.0,1.0,6661.81,2.0,4.5,46.55,0.0,6661.81
C0160,B2C,Healthcare,East,2021-04-05,185647.04,Inactive,223.0,4.0,31490.489999999998,3.0,3.0,40.800000000000004,3.0,31490.489999999998
C0161,B2B,Technology,West,2021-10-26,287304.75,Active,195.0,5.0,38879.37,4.0,5.0,31.075,1.0,38879.37
C0162,B2B,Healthcare,West,2021-12-15,313658.08,Active,92.0,6.0,35950.009999999995,2.0,3.0,23.8,0.0,35950.009999999995
C0163,B2B,Manufacturing,West,2023-10-17,322573.27,Inactive,9.0,4.0,16497.06,4.0,4.0,47.95,0.0,16497.06
C0164,B2B,Finance,East,2022-06-07,342029.33,Active,169.0,5.0,64073.29,2.0,2.0,27.65,0.0,64073.29
C0165,B2C,Retail,East,2021-06-01,323079.96,Inactive,1.0,5.0,48585.369999999995,3.0,4.666666666666667,43.06666666666667,1.0,48585.369999999995
C0166,B2C,Finance,East,2024-11-14,107616.33,Inactive,380.0,2.0,6507.19,0.0,0.0,0.0,0.0,6507.19
C0167,B2C,Healthcare,South,2025-10-14,196868.51,Active,207.0,2.0,15589.12,0.0,0.0,0.0,0.0,15589.12
C0168,B2C,Retail,North,2024-03-23,489192.8,Inactive,26.0,1.0,1932.49,5.0,2.6,35.08,0.0,1932.49
C0169,B2B,Technology,North,2022-07-17,456202.31,Inactive,75.0,5.0,24173.54,3.0,1.6666666666666667,21.633333333333336,0.0,24173.54
C0170,B2C,Manufacturing,East,2025-09-02,117312.22,Active,45.0,5.0,31766.219999999998,3.0,2.0,35.733333333333334,0.0,31766.219999999998
C0171,B2C,Manufacturing,North,2024-06-25,452667.81,Active,257.0,3.0,12995.439999999999,2.0,3.5,32.9,0.0,12995.439999999999
C0172,B2C,Healthcare,East,2022-09-25,368856.29,Active,201.0,3.0,18161.23,7.0,2.4285714285714284,30.542857142857144,2.0,18161.23
C0173,B2C,Finance,South,2022-08-28,108389.45,Active,233.0,4.0,33378.28,1.0,4.0,35.8,1.0,33378.28
C0174,B2C,Manufacturing,East,2023-12-24,457883.99,Inactive,553.0,3.0,12093.86,3.0,3.6666666666666665,36.66666666666667,3.0,12093.86
C0175,B2C,Retail,North,2025-07-10,239482.38,Active,241.0,3.0,23001.56,3.0,4.666666666666667,46.6,1.0,23001.56
C0176,B2B,Finance,East,2021-10-16,54248.41,Inactive,63.0,2.0,7093.9400000000005,0.0,0.0,0.0,0.0,7093.9400000000005
C0177,B2C,Technology,North,2021-01-29,232845.15,Active,24.0,3.0,9870.7,0.0,0.0,0.0,0.0,9870.7
C0178,B2C,Retail,North,2024-04-12,340669.91,Inactive,444.0,5.0,41277.47,6.0,2.6666666666666665,38.666666666666664,3.0,41277.47
C0179,B2C,Technology,South,2021-02-21,327349.67,Inactive,211.0,4.0,24800.94,2.0,1.5,18.700000000000003,0.0,24800.94
C0180,B2C,Finance,North,2024-12-06,78490.74,Active,52.0,3.0,21073.68,2.0,3.5,17.55,1.0,21073.68
C0181,B2C,Healthcare,North,2022-09-16,125052.02,Active,420.0,1.0,1009.78,3.0,3.3333333333333335,46.5,2.0,1009.78
C0182,B2C,Retail,West,2023-03-07,297796.77,Active,280.0,5.0,45373.26,5.0,3.6,28.639999999999997,1.0,45373.26
C0183,B2B,Finance,West,2023-04-30,470136.0,Active,392.0,6.0,34620.26,4.0,4.25,40.275,0.0,34620.26
C0184,B2C,Manufacturing,West,2021-03-09,227900.97,Active,924.0,1.0,10499.78,2.0,1.5,48.849999999999994,0.0,10499.78
C0185,B2C,Healthcare,East,2025-10-18,276788.27,Active,161.0,2.0,6707.4,3.0,2.3333333333333335,29.166666666666668,0.0,6707.4
C0186,B2C,Retail,South,2021-05-05,484421.37,Inactive,52.0,7.0,54204.71,4.0,3.25,35.925,1.0,54204.71
C0187,B2B,Technology,North,2021-07-07,34783.47,Active,167.0,6.0,26314.23,3.0,4.0,38.833333333333336,0.0,26314.23
C0188,B2B,Technology,South,2022-05-14,43618.97,Active,153.0,3.0,19218.99,2.0,2.0,34.6,0.0,19218.99
C0189,B2B,Manufacturing,East,2024-04-15,389440.6,Active,54.0,4.0,12795.48,0.0,0.0,0.0,0.0,12795.48
C0190,B2B,Manufacturing,East,2022-07-22,401271.77,Active,60.0,5.0,27768.36,5.0,3.6,40.04,2.0,27768.36
C0191,B2B,Manufacturing,North,2024-09-15,185538.72,Active,205.0,3.0,14360.900000000001,5.0,3.0,39.2,3.0,14360.900000000001
C0192,B2C,Healthcare,South,2024-04-20,140030.08,Active,206.0,3.0,16215.05,2.0,2.5,2.7,0.0,16215.05
C0193,B2C,Technology,North,2025-02-28,375375.98,Inactive,837.0,4.0,19607.99,5.0,4.0,50.94,3.0,19607.99
C0194,B2C,Technology,North,2023-07-08,231482.66,Active,9.0,4.0,23401.32,4.0,2.25,30.525000000000002,2.0,23401.32
C0195,B2B,Technology,East,2024-06-13,234440.84,Active,40.0,4.0,29142.9,3.0,3.0,30.733333333333334,2.0,29142.9
C0196,B2C,Finance,West,2021-05-05,346187.77,Inactive,258.0,2.0,5460.96,1.0,2.0,39.7,0.0,5460.96
C0197,B2C,Healthcare,North,2024-12-29,167834.79,Active,278.0,3.0,26503.629999999997,2.0,1.5,27.400000000000002,0.0,26503.629999999997
C0198,B2B,Retail,East,2021-05-15,196643.16,Active,100.0,3.0,17832.38,4.0,3.5,30.225,1.0,17832.38
C0199,B2C,Healthcare,North,2023-07-19,427868.44,Active,21.0,2.0,15261.94,5.0,2.2,37.04,1.0,15261.94
C0200,B2C,Manufacturing,West,2023-05-31,176076.49,Inactive,6.0,4.0,29681.370000000003,3.0,2.0,17.400000000000002,0.0,29681.370000000003
C0201,B2C,Healthcare,East,2023-03-28,219114.36,Active,419.0,6.0,36291.759999999995,2.0,3.0,67.19999999999999,0.0,36291.759999999995
C0202,B2B,Finance,North,2023-02-06,54700.15,Active,460.0,3.0,19096.9,4.0,4.25,33.625,1.0,19096.9
C0203,B2C,Healthcare,East,2021-07-10,407766.95,Active,144.0,4.0,26497.24,1.0,4.0,2.3,1.0,26497.24
C0204,B2C,Healthcare,West,2024-04-16,183263.06,Inactive,253.0,3.0,25754.91,3.0,3.0,46.166666666666664,0.0,25754.91
C0205,B2B,Retail,East,2025-11-13,182306.63,Active,103.0,6.0,39073.8,1.0,3.0,47.6,0.0,39073.8
